Pkt 1 : rule = Background Traffic-imap, ts idx = 0, content_set
Pkt 2 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 3 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 4 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 5 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 6 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 7 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 8 : rule = Background Traffic-imap, ts idx = 0, content_set
Pkt 9 : rule = Background Traffic-imap, ts idx = 0, content_set
Pkt 10 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 11 : rule = Background Traffic-imap, ts idx = 0, content_set
Pkt 12 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 13 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 14 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 15 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 16 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 17 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 18 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 19 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 20 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 21 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 22 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 23 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 24 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 25 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 26 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 27 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 28 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 29 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 30 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 31 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 32 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 33 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 34 : rule = Background Traffic-imap, ts idx = 0, content_set
Pkt 35 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 36 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 37 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 38 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 39 : rule = Background Traffic-pop, ts idx = 0, content_set
Pkt 40 : rule = Background Traffic-imap, ts idx = 0, content_set
Pkt 41 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 42 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 43 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 44 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 45 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 46 : rule = Background Traffic-ftp, ts idx = 0, content_set
Pkt 47 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 48 : rule = Background Traffic-http, ts idx = 0, content_set
Pkt 49 : rule = Background Traffic-smtp, ts idx = 0, content_set
Pkt 50 : rule = Background Traffic-http, ts idx = 0, content_set
